time,E,I,C,delta_phi
4.0000,0.500881,0.051152,242.612022,1.013564
4.0200,0.500881,0.051161,243.223645,1.035980
4.0400,0.500884,0.050947,244.284397,1.075717
4.0600,0.500886,0.050960,244.203050,1.072613
4.0800,0.500850,0.050910,247.295615,1.193255
4.1000,0.500905,0.050449,246.985896,1.180577
4.1200,0.500935,0.050263,247.512499,1.201384
4.1400,0.500924,0.050259,247.599088,1.205035
4.1600,0.500990,0.050334,247.186896,1.187486
4.1800,0.500892,0.050826,243.937254,1.062683
4.2000,0.500867,0.050967,245.219626,1.111535
4.2200,0.500693,0.051151,244.507216,1.086703
4.2400,0.500460,0.051802,244.537777,1.090662
4.2600,0.500395,0.051898,244.334366,1.083862
4.2800,0.500353,0.051814,243.909470,1.068619
4.3000,0.500272,0.051836,244.599434,1.095829
4.3200,0.500387,0.051720,244.874686,1.104660
4.3400,0.500481,0.051838,245.303243,1.119551
4.3600,0.500777,0.051840,246.251901,1.152012
4.3800,0.500645,0.051734,246.056275,1.146401
4.4000,0.500854,0.051938,244.382386,1.078826
4.4200,0.500894,0.051933,246.024309,1.141306
4.4400,0.500872,0.051966,245.620481,1.125896
4.4600,0.500575,0.051805,246.233144,1.154288
4.4800,0.500370,0.052121,245.518312,1.129233
4.5000,0.500295,0.052182,245.636504,1.134886
4.5200,0.500294,0.052182,245.955375,1.147292
4.5400,0.500345,0.052226,245.380265,1.124165
4.5600,0.500617,0.052531,244.765748,1.096228
4.5800,0.500282,0.052816,241.505742,0.980941
4.6000,0.500275,0.052811,244.636314,1.096185
4.6200,0.499609,0.052435,243.146925,1.051375
4.6400,0.499792,0.052449,242.038508,1.008060
4.6600,0.499871,0.052399,242.975755,1.040914
4.6800,0.499668,0.052762,239.568177,0.923171
4.7000,0.499740,0.052824,240.246919,0.945270
4.7200,0.499348,0.052660,238.219278,0.883248
4.7400,0.499255,0.052709,238.363592,0.889534
4.7600,0.499205,0.052766,238.974381,0.910717
4.7800,0.499243,0.052733,238.819236,0.904902
4.8000,0.499189,0.052709,238.556217,0.897045
4.8200,0.498964,0.052638,238.415836,0.896278
4.8400,0.498911,0.052625,238.516600,0.900548
4.8600,0.499158,0.052570,239.076311,0.915137
4.8800,0.499434,0.052772,238.391299,0.887402
4.9000,0.499322,0.052794,238.247556,0.884478
4.9200,0.498917,0.053022,235.394780,0.799873
4.9400,0.498968,0.053067,235.450595,0.800676
4.9600,0.498830,0.053073,234.440911,0.772206
4.9800,0.498943,0.053163,234.553135,0.773538
5.0000,0.499023,0.053171,234.660793,0.775422
5.0200,0.498918,0.053174,234.623319,0.776094
5.0400,0.498845,0.053144,234.352729,0.769205
5.0600,0.499706,0.053369,234.025596,0.744760
5.0800,0.500329,0.053809,233.369469,0.715127
5.1000,0.500462,0.053772,233.850468,0.727358
5.1200,0.500657,0.053726,235.078486,0.761559
5.1400,0.500995,0.053814,236.835365,0.811580
5.1600,0.500415,0.053683,237.817829,0.852057
5.1800,0.500701,0.053590,237.776717,0.846534
5.2000,0.500456,0.053471,238.008970,0.857916
5.2200,0.500914,0.053102,239.194698,0.891091
5.2400,0.500801,0.053214,239.401676,0.899636
5.2600,0.500409,0.053517,237.226309,0.833076
5.2800,0.499823,0.054115,236.963135,0.833097
5.3000,0.499414,0.054229,236.626144,0.828857
5.3200,0.499133,0.054187,238.287980,0.887578
5.3400,0.499145,0.054182,238.282093,0.887186
5.3600,0.499683,0.054606,237.949624,0.866884
5.3800,0.499739,0.054667,237.142070,0.839652
5.4000,0.499585,0.054791,236.669079,0.826857
5.4200,0.499904,0.054617,236.008581,0.801024
5.4400,0.500040,0.054476,236.029367,0.799669
5.4600,0.500158,0.054382,236.248363,0.804824
5.4800,0.500098,0.054364,236.463266,0.812568
5.5000,0.500187,0.054400,236.700670,0.818699
5.5200,0.500003,0.054394,236.798351,0.824694
5.5400,0.500264,0.054505,236.480874,0.810419
5.5600,0.500057,0.054714,235.048055,0.768744
5.5800,0.499956,0.054678,234.670570,0.758861
5.6000,0.500443,0.055458,232.852208,0.696664
5.6200,0.500408,0.055445,230.859427,0.641050
5.6400,0.500712,0.055594,230.163929,0.617474
5.6600,0.500772,0.055574,229.706779,0.604402
5.6800,0.500896,0.055565,229.275385,0.591238
5.7000,0.501024,0.055333,230.691090,0.627498
5.7200,0.500948,0.055327,231.013907,0.637439
5.7400,0.500918,0.055380,231.151243,0.641615
5.7600,0.500960,0.055402,230.537442,0.624158
5.7800,0.500841,0.055463,230.189533,0.616415
5.8000,0.500861,0.055490,229.233579,0.590726
5.8200,0.500898,0.055576,229.239200,0.590251
5.8400,0.500931,0.055568,229.091814,0.585931
5.8600,0.500939,0.055551,229.050378,0.584754
5.8800,0.500969,0.055566,229.668837,0.600550
5.9000,0.501017,0.055197,229.354810,0.591957
5.9200,0.501102,0.055026,229.116688,0.584681
5.9400,0.501096,0.055248,226.995863,0.530945
5.9600,0.501106,0.055123,226.711102,0.523994
5.9800,0.501093,0.055674,226.359281,0.515155
6.0000,0.501097,0.055860,226.448157,0.517042
6.0200,0.501108,0.056073,224.540636,0.472215
6.0400,0.501105,0.055970,225.303962,0.489810
6.0600,0.501113,0.056032,224.866316,0.479569
6.0800,0.501177,0.056388,225.721805,0.498130
6.1000,0.501290,0.057456,224.731665,0.472615
6.1200,0.501305,0.057487,223.685156,0.449017
6.1400,0.501178,0.058045,220.974674,0.393629
6.1600,0.501136,0.058018,220.088987,0.376965
6.1800,0.501221,0.057971,221.892042,0.411631
6.2000,0.501050,0.057619,222.285531,0.422523
6.2200,0.501219,0.057884,220.549701,0.384850
6.2400,0.501264,0.057885,220.934889,0.391791
6.2600,0.501198,0.057851,221.698133,0.408094
6.2800,0.501050,0.057538,221.792307,0.412416
6.3000,0.500978,0.057604,221.646240,0.410405
6.3200,0.500877,0.057572,221.618940,0.411323
6.3400,0.500827,0.057625,221.761084,0.414895
6.3600,0.500921,0.057683,221.653664,0.411295
6.3800,0.501004,0.057465,221.823102,0.413777
6.4000,0.500758,0.057814,221.744515,0.415386
6.4200,0.500749,0.057800,220.203495,0.384940
6.4400,0.500917,0.057897,220.402527,0.386250
6.4600,0.500750,0.058148,219.326151,0.367981
6.4800,0.500995,0.057952,218.370610,0.347220
6.5000,0.500906,0.058113,217.453178,0.332289
6.5200,0.501048,0.058118,216.748877,0.318366
6.5400,0.501049,0.058115,216.291628,0.310835
6.5600,0.500793,0.057893,217.885117,0.341627
6.5800,0.500618,0.057874,217.204457,0.332500
6.6000,0.500136,0.058058,216.153548,0.322238
6.6200,0.500130,0.058055,217.155948,0.338908
6.6400,0.500033,0.057932,216.752977,0.333775
6.6600,0.500261,0.057897,217.703503,0.346420
6.6800,0.500117,0.057930,216.969688,0.336096
6.7000,0.500139,0.057963,217.029600,0.336718
6.7200,0.499767,0.057924,215.858568,0.323451
6.7400,0.499961,0.057947,215.110804,0.308647
6.7600,0.499894,0.058030,215.426814,0.314519
6.7800,0.500925,0.058366,205.345266,0.180272
6.8000,0.501747,0.057225,214.700021,0.277234
6.8200,0.502263,0.057514,213.737043,0.256182
6.8400,0.502222,0.057475,213.561215,0.254231
6.8600,0.501618,0.056852,215.275338,0.288103
6.8800,0.501726,0.056842,215.404485,0.288668
6.9000,0.501585,0.056776,215.592127,0.293555
6.9200,0.501521,0.056753,215.485912,0.292779
6.9400,0.501317,0.056739,215.653538,0.298224
6.9600,0.501539,0.056833,214.340397,0.275042
6.9800,0.501625,0.056751,215.256738,0.287822
7.0000,0.501501,0.056795,214.728142,0.281378
7.0200,0.501366,0.056808,214.602183,0.281322
7.0400,0.500963,0.056714,213.766779,0.274840
7.0600,0.500454,0.056481,215.171720,0.303434
7.0800,0.499851,0.056984,213.138976,0.282555
7.1000,0.499859,0.056986,213.211510,0.283427
7.1200,0.500353,0.056574,214.849174,0.299949
7.1400,0.500573,0.056627,214.453948,0.290648
7.1600,0.501066,0.056516,215.901238,0.305896
7.1800,0.501254,0.056673,216.672725,0.315629
7.2000,0.501179,0.056602,216.362235,0.311645
7.2200,0.500961,0.056524,216.344418,0.314532
7.2400,0.500709,0.056492,217.888672,0.344306
7.2600,0.501163,0.055808,220.497642,0.386671
7.2800,0.501150,0.055796,220.226320,0.381614
7.3000,0.501137,0.055811,220.271384,0.382655
7.3200,0.500769,0.055837,222.056468,0.423591
7.3400,0.501003,0.055724,221.890342,0.416902
7.3600,0.501228,0.055702,222.124067,0.418568
7.3800,0.501081,0.055766,221.956718,0.417116
7.4000,0.501034,0.055775,221.413337,0.406695
7.4200,0.501205,0.055980,220.718780,0.390244
7.4400,0.501305,0.055943,221.239475,0.399220
7.4600,0.501166,0.055949,220.600231,0.388494
7.4800,0.501101,0.055863,220.730048,0.392048
7.5000,0.500823,0.055640,220.701670,0.395693
7.5200,0.501124,0.055884,219.672568,0.371337
7.5400,0.501161,0.055790,220.207269,0.381096
7.5600,0.500991,0.055978,218.815978,0.357270
7.5800,0.501013,0.055984,218.758806,0.355916
7.6000,0.501001,0.055993,218.712005,0.355223
7.6200,0.501573,0.056373,217.528101,0.326002
7.6400,0.501774,0.056459,217.289393,0.319146
7.6600,0.501758,0.056453,217.334544,0.320136
7.6800,0.502035,0.056302,217.907472,0.326583
7.7000,0.502002,0.056347,217.025281,0.311816
7.7200,0.501960,0.056563,217.727441,0.324146
7.7400,0.502113,0.056665,215.042668,0.278236
7.7600,0.502070,0.056588,214.880867,0.276399
7.7800,0.501911,0.056373,216.513972,0.304470
7.8000,0.501913,0.056356,216.175555,0.298938
7.8200,0.502132,0.056193,215.237911,0.281472
7.8400,0.502102,0.056214,214.419346,0.269437
7.8600,0.501985,0.056573,214.679386,0.274461
7.8800,0.502158,0.056605,212.748955,0.244639
7.9000,0.502169,0.056647,212.547150,0.241743
7.9200,0.502147,0.056577,212.892445,0.246765
7.9400,0.502182,0.056525,213.222057,0.250910
7.9600,0.502157,0.056626,212.881056,0.246430
7.9800,0.502154,0.056640,212.776839,0.245043
8.0000,0.502186,0.057023,211.713786,0.230266
8.0200,0.502187,0.057039,210.711070,0.217837
8.0400,0.502161,0.056720,210.791876,0.219451
8.0600,0.502189,0.056926,209.988481,0.209453
