time,delta_phi
0.0,0.3656692952023377
0.02,0.2303127682424068
0.04,0.8340180776202492
0.06,0.5355850329017698
0.08,0.47057882887978336
0.1,0.9054681769772666
0.12,0.7972707422152062
0.14,0.6734845074123933
0.16,0.8905600376667424
0.18,0.859988449393662
0.2,0.9213761534938582
0.22,1.1850708201452649
0.24,0.8678920870056847
0.26,0.6580667036692703
0.28,0.8986394493503311
0.3,1.1951228563550247
0.32,1.0252577573681563
0.34,1.1062308216583325
0.36,1.2900529238421943
0.38,1.2030081136280255
0.4,1.001796085508938
0.42,1.537768102355769
0.44,0.8380619374992109
0.46,1.3120911275484517
0.48,1.6460703944131365
0.5,1.839424775559212
0.52,1.663975705751656
0.54,1.8096356452494429
0.56,1.8962720078758288
0.58,2.309671405656949
0.6,2.35604107313941
0.62,2.3647961206788484
0.64,1.6467588691289603
0.66,2.153418550162936
0.68,1.9234535474649916
0.7,1.9604781930871058
0.72,2.1389552830011347
0.74,2.3683806832653063
0.76,2.434599003976215
0.78,2.3385871248703456
0.8,2.247190433062939
0.82,2.611299430637491
0.84,2.5724083473557813
0.86,2.5497131653310987
0.88,2.024593824730845
0.9,2.303596507768695
0.92,2.6258256620720943
0.94,2.913975391615128
0.96,2.8052916303899083
0.98,2.244272744989749
1.0,2.7818482621058047
1.02,2.159732172992682
1.04,2.1627850785494536
1.06,2.5963055798497923
1.08,1.8590247505622475
1.1,2.1401399738668085
1.12,1.9289820636094166
1.14,2.3877627912769337
1.16,2.359770809890971
1.18,1.8176790300768872
1.2,2.0741039067813505
1.22,1.6430248274410526
1.24,2.1544459209584783
1.26,1.8559525168509228
1.28,1.984852063080119
1.3,1.5540915574761598
1.32,2.0531746439510195
1.34,2.3617651403143127
1.36,2.3421270402725605
1.38,1.4463329656629025
1.4,1.6574632582350561
1.42,2.106671596593189
1.44,1.6474338985952366
1.46,1.6276117224239095
1.48,1.654029263914177
1.5,1.786650006672871
1.52,1.4899844803627706
1.54,2.2661668158630714
1.56,1.259829397536058
1.58,1.713025520022621
1.6,1.6715332263664016
1.62,1.2706552575698244
1.64,1.747079445170927
1.66,1.0403014813572629
1.68,0.875865289279135
1.7,1.5533312838260176
1.72,1.6939829060104536
