time,regime
0.0,stable
0.02,stable
0.04,stable
0.06,stable
0.08,stable
0.1,stable
0.12,stable
0.14,stable
0.16,stable
0.18,stable
0.2,stable
0.22,stable
0.24,stable
0.26,stable
0.28,stable
0.3,stable
0.32,stable
0.34,stable
0.36,stable
0.38,stable
0.4,stable
0.42,stable
0.44,stable
0.46,stable
0.48,stable
0.5,stable
0.52,stable
0.54,stable
0.56,stable
0.58,stable
0.6,stable
0.62,stable
0.64,stable
0.66,stable
0.68,stable
0.7,stable
0.72,stable
0.74,stable
0.76,stable
0.78,stable
0.8,stable
0.82,stable
0.84,stable
0.86,stable
0.88,stable
0.9,stable
0.92,stable
0.94,stable
0.96,stable
0.98,stable
1.0,stable
1.02,stable
1.04,stable
1.06,stable
1.08,stable
1.1,stable
1.12,stable
1.14,stable
1.16,stable
1.18,stable
1.2,stable
1.22,stable
1.24,stable
1.26,stable
1.28,stable
1.3,stable
1.32,stable
1.34,stable
1.36,stable
1.38,stable
1.4,stable
1.42,stable
1.44,stable
1.46,stable
1.48,stable
1.5,stable
1.52,stable
1.54,stable
1.56,stable
1.58,stable
1.6,stable
1.62,stable
1.64,stable
1.66,stable
1.68,stable
1.7,stable
1.72,stable
1.74,stable
1.76,stable
1.78,stable
1.8,stable
1.82,stable
1.84,stable
1.86,stable
1.88,stable
1.9,stable
1.92,stable
1.94,stable
1.96,stable
1.98,stable
2.0,stable
2.02,stable
2.04,stable
2.06,stable
2.08,stable
2.1,stable
2.12,stable
2.14,stable
2.16,stable
2.18,stable
2.2,stable
2.22,stable
2.24,stable
2.26,stable
2.28,stable
2.3,stable
2.32,stable
2.34,stable
2.36,stable
2.38,stable
2.4,stable
2.42,stable
2.44,stable
2.46,stable
2.48,stable
2.5,stable
2.52,stable
2.54,stable
2.56,stable
2.58,stable
2.6,stable
2.62,stable
2.64,stable
2.66,stable
2.68,stable
2.7,stable
2.72,stable
2.74,stable
2.76,stable
2.78,stable
2.8,stable
2.82,stable
2.84,stable
2.86,stable
2.88,stable
2.9,stable
2.92,stable
2.94,stable
2.96,stable
2.98,stable
3.0,stable
3.02,stable
3.04,stable
3.06,stable
3.08,stable
3.1,stable
3.12,stable
3.14,stable
3.16,stable
3.18,stable
3.2,stable
3.22,stable
3.24,stable
3.26,stable
3.28,stable
3.3,stable
3.32,stable
3.34,stable
3.36,stable
3.38,stable
3.4,stable
3.42,stable
3.44,stable
3.46,stable
3.48,stable
3.5,stable
3.52,stable
3.54,stable
3.56,stable
3.58,stable
3.6,stable
3.62,stable
3.64,stable
3.66,stable
3.68,stable
3.7,stable
3.72,stable
3.74,stable
3.76,stable
3.78,stable
3.8,stable
3.82,stable
3.84,stable
3.86,stable
3.88,stable
3.9,stable
3.92,stable
3.94,stable
3.96,stable
3.98,stable
4.0,stable
4.02,stable
4.04,stable
4.06,stable
4.08,stable
4.1,stable
4.12,stable
4.14,stable
4.16,stable
4.18,stable
4.2,stable
4.22,stable
4.24,stable
4.26,stable
4.28,stable
4.3,stable
4.32,stable
4.34,stable
4.36,stable
4.38,stable
4.4,stable
4.42,stable
4.44,stable
4.46,stable
4.48,stable
4.5,stable
4.52,stable
4.54,stable
4.56,stable
4.58,stable
4.6,stable
4.62,stable
4.64,stable
4.66,stable
4.68,stable
4.7,stable
4.72,stable
