t,regime,DeltaPhi,E,I,C
4.0,pre_instability,1.013564,0.500881,0.051152,242.612022
4.02,pre_instability,1.03598,0.500881,0.051161,243.223645
4.04,pre_instability,1.075717,0.500884,0.050947,244.284397
4.06,pre_instability,1.072613,0.500886,0.05096,244.20305
4.08,pre_instability,1.193255,0.50085,0.05091,247.295615
4.1,pre_instability,1.180577,0.500905,0.050449,246.985896
4.12,pre_instability,1.201384,0.500935,0.050263,247.512499
4.14,pre_instability,1.205035,0.500924,0.050259,247.599088
4.16,pre_instability,1.187486,0.50099,0.050334,247.186896
4.18,pre_instability,1.062683,0.500892,0.050826,243.937254
4.2,pre_instability,1.111535,0.500867,0.050967,245.219626
4.22,pre_instability,1.086703,0.500693,0.051151,244.507216
4.24,pre_instability,1.090662,0.50046,0.051802,244.537777
4.26,pre_instability,1.083862,0.500395,0.051898,244.334366
4.28,pre_instability,1.068619,0.500353,0.051814,243.90947
4.3,pre_instability,1.095829,0.500272,0.051836,244.599434
4.32,pre_instability,1.10466,0.500387,0.05172,244.874686
4.34,pre_instability,1.119551,0.500481,0.051838,245.303243
4.36,pre_instability,1.152012,0.500777,0.05184,246.251901
4.38,pre_instability,1.146401,0.500645,0.051734,246.056275
4.4,pre_instability,1.078826,0.500854,0.051938,244.382386
4.42,pre_instability,1.141306,0.500894,0.051933,246.024309
4.44,pre_instability,1.125896,0.500872,0.051966,245.620481
4.46,pre_instability,1.154288,0.500575,0.051805,246.233144
4.48,pre_instability,1.129233,0.50037,0.052121,245.518312
4.5,pre_instability,1.134886,0.500295,0.052182,245.636504
4.52,pre_instability,1.147292,0.500294,0.052182,245.955375
4.54,pre_instability,1.124165,0.500345,0.052226,245.380265
4.56,pre_instability,1.096228,0.500617,0.052531,244.765748
4.58,pre_instability,0.980941,0.500282,0.052816,241.505742
4.6,pre_instability,1.096185,0.500275,0.052811,244.636314
4.62,pre_instability,1.051375,0.499609,0.052435,243.146925
4.64,pre_instability,1.00806,0.499792,0.052449,242.038508
4.66,pre_instability,1.040914,0.499871,0.052399,242.975755
4.68,pre_instability,0.923171,0.499668,0.052762,239.568177
4.7,pre_instability,0.94527,0.49974,0.052824,240.246919
4.72,pre_instability,0.883248,0.499348,0.05266,238.219278
4.74,pre_instability,0.889534,0.499255,0.052709,238.363592
4.76,pre_instability,0.910717,0.499205,0.052766,238.974381
4.78,pre_instability,0.904902,0.499243,0.052733,238.819236
4.8,pre_instability,0.897045,0.499189,0.052709,238.556217
4.82,pre_instability,0.896278,0.498964,0.052638,238.415836
4.84,pre_instability,0.900548,0.498911,0.052625,238.5166
4.86,pre_instability,0.915137,0.499158,0.05257,239.076311
4.88,pre_instability,0.887402,0.499434,0.052772,238.391299
4.9,pre_instability,0.884478,0.499322,0.052794,238.247556
4.92,pre_instability,0.799873,0.498917,0.053022,235.39478
4.94,pre_instability,0.800676,0.498968,0.053067,235.450595
4.96,pre_instability,0.772206,0.49883,0.053073,234.440911
4.98,pre_instability,0.773538,0.498943,0.053163,234.553135
